iter	RMSE
0	0.5997376074
1	0.5988555626
2	0.5977938921
3	0.5968373625
4	0.5958449467
5	0.5950209452
6	0.5941484475
7	0.5932608385
8	0.5922653164
9	0.5913968861
10	0.5908156144
11	0.5897359172
12	0.58895248
13	0.5879293052
14	0.5868998758
15	0.5856929692
16	0.5844699923
17	0.5836797145
18	0.5827748705
19	0.5820135971
20	0.5812684696
21	0.5803425421
22	0.5794046526
23	0.5784665899
24	0.5777109486
25	0.5770153757
26	0.5764404847
27	0.5755101731
28	0.5747040153
29	0.5737763764
30	0.572994912
31	0.572176679
32	0.5712254579
33	0.5704303445
34	0.5698308923
35	0.5691287554
36	0.5682527487
37	0.5675215134
38	0.5666157433
39	0.5658599513
40	0.5647579079
41	0.5641203023
42	0.5632083478
43	0.5625662571
44	0.5618094333
45	0.5612016251
46	0.5606186739
47	0.5596310836
48	0.5589608273
49	0.5583509015
50	0.5576606475
51	0.5569499261
52	0.5560721115
53	0.5553886485
54	0.5544788156
55	0.5535231703
56	0.5530137591
57	0.5521881965
58	0.5513755591
59	0.5507437077
60	0.5501617456
61	0.5494771997
62	0.5488681314
63	0.5480082351
64	0.547294343
65	0.5466654418
66	0.5460693149
67	0.5454459978
68	0.5445635091
69	0.5437601335
70	0.5431339536
71	0.5427102944
72	0.5420303044
73	0.5411671369
74	0.5405169303
75	0.5398442745
76	0.5391851745
77	0.5385720574
78	0.5379649867
79	0.5372929487
80	0.53684659
81	0.5361892139
82	0.5356354007
83	0.5350169941
84	0.5344650285
85	0.5338003605
86	0.5333510746
87	0.5326733718
88	0.5320396066
89	0.5315115472
90	0.5308828012
91	0.5301617068
92	0.5295450732
93	0.5291705067
94	0.528535687
95	0.5279959714
96	0.5271873276
97	0.5266382923
98	0.5263064876
99	0.5257354318
100	0.5248753101
101	0.5244484179
102	0.5235668046
103	0.5228986919
104	0.5223667016
105	0.5216320654
106	0.5210694551
107	0.5204353791
108	0.519825634
109	0.5192835083
110	0.5186259997
111	0.5179238157
112	0.5175748301
113	0.5169201716
114	0.5165101392
115	0.5156593244
116	0.514961549
117	0.5142897027
118	0.5136396298
119	0.5127880141
120	0.5121910332
121	0.5116098044
122	0.5109216744
123	0.5101088905
124	0.5094538613
125	0.5090480412
126	0.5083496202
127	0.5077735482
128	0.507248726
129	0.5066840781
130	0.5060164895
131	0.5057543604
132	0.5048612145
133	0.5042255333
134	0.5037744428
135	0.5032672522
136	0.5027531425
137	0.5021899193
138	0.5015791573
139	0.5011884062
140	0.5008144802
141	0.5003534323
142	0.4999670514
143	0.4994952914
144	0.4989448678
145	0.4982492964
146	0.4978857767
147	0.4974866613
148	0.4969085022
149	0.4963382543
150	0.4957023626
151	0.4951203551
152	0.4947252651
153	0.494119653
154	0.4936013754
155	0.4931067968
156	0.4927134518
157	0.4921351243
158	0.4915042847
159	0.4911391657
160	0.4905878024
161	0.4901701667
162	0.4895197185
163	0.488767054
164	0.4883999117
165	0.487912414
166	0.4875536875
167	0.4871185068
168	0.4865185945
169	0.4859097115
170	0.4853241263
171	0.4849964103
172	0.4845127498
173	0.4838196367
174	0.4834647024
175	0.4831095303
176	0.4825849264
177	0.4821921996
178	0.481561344
179	0.4808489205
180	0.4802079917
181	0.4798206737
182	0.4793958565
183	0.4790217692
184	0.4785921784
185	0.4781082013
186	0.4776268093
187	0.4767638511
188	0.4760194741
189	0.4754777195
190	0.4751024106
191	0.4745046106
192	0.4739982859
193	0.4735082219
194	0.4730072329
195	0.4725357468
196	0.472162858
197	0.471730422
198	0.4714719717
199	0.470814891
200	0.470397111
201	0.4697833741
202	0.4694354297
203	0.4690040692
204	0.4686969982
205	0.4681647714
206	0.4675183851
207	0.4669069328
208	0.4663147934
209	0.4658751441
210	0.4653969104
211	0.4650534592
212	0.4644518181
213	0.4639240333
214	0.4632340268
215	0.4627935642
216	0.4625018613
217	0.461699248
218	0.4613222917
219	0.4606405331
220	0.4602863495
221	0.4596476233
222	0.45921732
223	0.4587866798
224	0.4580824402
225	0.457747145
226	0.4574267482
227	0.4570778909
228	0.4566047923
229	0.4561068729
230	0.4557417978
231	0.4555351262
232	0.4550070732
233	0.4543457212
234	0.4540612806
235	0.4533859343
236	0.4531435596
237	0.4528480114
238	0.4526189555
239	0.4521525076
240	0.4514889498
241	0.4511702783
242	0.4506986538
243	0.4502513527
244	0.4498564971
245	0.4495914792
246	0.4494002456
247	0.449140369
248	0.4488112967
249	0.4484665159
250	0.4482554222
251	0.4479390945
252	0.447521839
253	0.4472046045
254	0.4466366308
255	0.4464443041
256	0.4459698947
257	0.445488236
258	0.4450729241
259	0.4446659038
260	0.4443850948
261	0.4441892581
262	0.4436924275
263	0.4431907882
264	0.4424004468
265	0.442100795
266	0.441767265
267	0.4412565484
268	0.4406445279
269	0.4400396861
270	0.4396803711
271	0.439293781
272	0.4387363242
273	0.4383344697
274	0.4378161706
275	0.4373205318
276	0.4368145256
277	0.4364093578
278	0.4361132342
279	0.4357149454
280	0.4351441182
281	0.4346556436
282	0.4343294635
283	0.4340179819
284	0.4337310547
285	0.4332912848
286	0.4328319328
287	0.4324416415
288	0.4320003618
289	0.4317659059
290	0.4314442252
291	0.4309631736
292	0.4303732968
293	0.4299664323
294	0.4294114799
295	0.4291134338
296	0.4287956292
297	0.4284138913
298	0.4280805863
299	0.4277774889
