iter	Passed	Remaining
0	0	199
1	1	182
2	1	171
3	2	168
4	2	173
5	3	168
6	3	166
7	4	167
8	5	167
9	5	165
10	6	164
11	6	165
12	7	164
13	8	163
14	8	161
15	9	163
16	9	164
17	10	168
18	11	171
19	12	175
20	13	176
21	14	177
22	14	178
23	15	180
24	16	180
25	17	180
26	18	183
27	19	184
28	19	184
29	20	183
30	21	183
31	22	185
32	22	184
33	23	184
34	24	184
35	25	184
36	25	184
37	26	185
38	27	185
39	28	184
40	29	184
41	29	184
42	30	183
43	31	182
44	32	181
45	32	181
46	33	180
47	34	180
48	35	180
49	35	179
50	36	178
51	37	179
52	38	178
53	39	177
54	39	176
55	40	176
56	41	176
57	42	175
58	42	175
59	43	174
60	44	173
61	45	173
62	45	173
63	46	172
64	47	172
65	48	171
66	49	170
67	49	170
68	50	169
69	51	169
70	52	168
71	52	167
72	53	167
73	54	166
74	55	166
75	55	164
76	56	164
77	57	164
78	58	163
79	59	162
80	59	161
81	60	161
82	61	160
83	62	159
84	62	158
85	63	157
86	63	156
87	64	155
88	65	154
89	66	154
90	67	154
91	68	154
92	69	153
93	69	153
94	70	152
95	71	151
96	72	151
97	73	150
98	73	149
99	74	149
100	75	149
101	76	148
102	77	148
103	78	147
104	79	147
105	79	146
106	80	145
107	81	144
108	82	144
109	83	143
110	83	142
111	84	141
112	85	140
113	86	140
114	86	139
115	87	138
116	88	137
117	89	137
118	89	136
119	90	135
120	91	134
121	91	134
122	92	133
123	93	132
124	94	131
125	94	130
126	95	130
127	96	129
128	97	128
129	97	127
130	98	127
131	99	126
132	100	125
133	100	124
134	101	124
135	102	123
136	103	122
137	103	122
138	104	121
139	105	120
140	106	119
141	106	118
142	107	118
143	108	117
144	109	116
145	109	115
146	110	115
147	111	114
148	112	113
149	112	112
150	113	112
151	114	111
152	114	110
153	115	109
154	116	108
155	117	108
156	117	107
157	118	106
158	119	106
159	120	105
160	121	104
161	121	103
162	122	103
163	123	102
164	124	101
165	124	100
166	125	99
167	126	99
168	127	98
169	127	97
170	128	97
171	129	96
172	130	95
173	131	94
174	131	94
175	132	93
176	133	92
177	134	91
178	134	91
179	135	90
180	136	89
181	136	88
182	137	87
183	138	87
184	139	86
185	139	85
186	140	84
187	141	84
188	141	83
189	142	82
190	143	81
191	144	81
192	144	80
193	145	79
194	146	78
195	146	77
196	147	77
197	148	76
198	149	75
199	150	75
200	150	74
201	151	73
202	152	72
203	153	72
204	153	71
205	154	70
206	155	69
207	155	68
208	156	68
209	157	67
210	157	66
211	158	65
212	159	65
213	160	64
214	160	63
215	161	62
216	162	61
217	162	61
218	163	60
219	164	59
220	164	58
221	165	58
222	166	57
223	167	56
224	167	55
225	168	55
226	169	54
227	170	53
228	170	53
229	171	52
230	172	51
231	173	50
232	173	49
233	174	49
234	175	48
235	176	47
236	176	47
237	177	46
238	178	45
239	178	44
240	179	43
241	180	43
242	180	42
243	181	41
244	182	40
245	182	40
246	183	39
247	184	38
248	185	37
249	186	37
250	186	36
251	187	35
252	188	35
253	189	34
254	189	33
255	190	32
256	191	32
257	192	31
258	193	30
259	194	29
260	194	29
261	195	28
262	196	27
263	196	26
264	197	26
265	198	25
266	199	24
267	199	23
268	201	23
269	201	22
270	202	21
271	203	20
272	203	20
273	204	19
274	205	18
275	206	17
276	206	17
277	207	16
278	208	15
279	209	14
280	209	14
281	210	13
282	211	12
283	212	11
284	213	11
285	214	10
286	214	9
287	215	8
288	216	8
289	217	7
290	218	6
291	218	5
292	219	5
293	220	4
294	220	3
295	221	2
296	222	2
297	223	1
298	224	0
299	224	0
