last_name, first_name,player_id,year,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Pujols, Albert,405395,2019,.428,.319,.314,88.3,12.5,26.5,5.8,3.7,36.6,59.6,30.8,46.2,26.7,16.9,10.2,22.5,
Cabrera, Miguel,408234,2019,.436,.331,.337,90.3,12.3,38.2,6.4,7.2,44.7,67.9,33.9,44.9,22.3,27.9,4.9,23.5,
Choo, Shin-Soo,425783,2019,.474,.362,.370,91.9,9.2,31.8,8.8,9,49,64.8,20.4,50.6,22.3,23.6,3.5,26.6,
Jones, Adam,430945,2019,.432,.319,.312,86.2,13.5,31.3,6.7,5.4,31,72.3,39.3,43.9,25.8,21.2,9,26.9,
Cruz Jr., Nelson,443558,2019,.637,.415,.377,93.7,13.1,38.3,19.9,8.3,51.5,69.9,27.3,40.5,24.8,27,7.7,25.3,
Longoria, Evan,446334,2019,.491,.351,.340,89.7,14,35.8,7.5,8.4,40.8,64.6,30.1,41,26.6,27.2,5.2,26.4,
Fowler, Dexter,451594,2019,.421,.340,.357,85.5,12.9,40.6,7.4,4.6,28.7,66.8,23.4,39.4,26,28.6,6,27.7,
Cabrera, Asdrubal,452678,2019,.408,.317,.326,89.1,14.4,37.3,5.7,6.3,35.3,66.4,25.1,38.7,27.1,27.9,6.3,25.4,
Blackmon, Charlie,453568,2019,.525,.367,.348,88.7,14.6,36.8,8.3,7.9,40.3,70.4,30.5,40.3,26.8,26.6,6.2,26.7,
Cain, Lorenzo,456715,2019,.414,.335,.352,89.5,6.9,31.1,4.1,5.2,42.1,65.3,25.2,51.1,16.7,27.2,5.2,27.9,
Turner, Justin,457759,2019,.516,.377,.372,90.3,17.8,38.6,7.8,9.3,43,66.6,24.5,34.8,29.8,28.8,6.6,26.1,
Votto, Joey,458015,2019,.446,.347,.359,88.9,15.2,40.7,6.9,5.7,38.2,65.5,18.5,37.8,30.1,28.9,3.2,25.0,
Gardner, Brett,458731,2019,.367,.298,.312,87.7,13.9,28.8,3.9,6,32.6,55.5,22.5,45.1,20.7,23.1,11.1,28.9,
Braun, Ryan,460075,2019,.470,.339,.328,91.5,7.3,33.3,9.5,5.3,45.3,72,34.7,49.6,19.3,25.5,5.6,26.6,
Gordon, Alex,460086,2019,.422,.330,.338,88.7,9.3,33.7,5.4,5.8,38.4,71,26.8,46.9,24,27,2.2,25.3,
