player,year,K,BB,RBI,TB,SB,G,R,Fpoints,fpoints_g
"Soto, Juan",2020,28,41,37,107,5,47,39,201,4.276595744680851
"Freeman, Freddie",2020,37,45,53,137,2,60,51,251,4.183333333333334
"Yelich, Christian",2019,118,80,97,328,30,130,100,517,3.976923076923077
"Rendon, Anthony",2019,86,80,126,326,5,146,117,568,3.8904109589041096
"Judge, Aaron",2022,175,111,131,391,16,157,133,607,3.8662420382165603
"Trout, Mike",2019,120,110,104,303,11,134,110,518,3.8656716417910446
"Bregman, Alex",2019,83,119,112,328,5,156,122,603,3.8653846153846154
"Ramirez, Jose",2020,43,31,46,133,10,58,45,222,3.8275862068965516
"Bellinger, Cody",2019,108,95,115,351,15,156,121,589,3.7756410256410255
"Turner, Trea",2020,36,22,41,137,11,59,46,221,3.7457627118644066
"Betts, Mookie",2020,38,24,39,123,10,55,47,205,3.727272727272727
"LeMahieu, DJ",2020,21,18,27,115,3,50,41,183,3.66
"Ozuna, Marcell",2020,60,38,56,145,0,60,38,217,3.6166666666666667
"Machado, Manny",2020,37,26,47,130,6,60,44,216,3.6
"Betts, Mookie",2019,101,97,80,313,16,150,135,540,3.6
"Guerrero Jr., Vladimir",2021,110,86,111,363,4,161,123,577,3.5838509316770186
"Springer III, George",2019,113,67,96,283,6,122,96,435,3.5655737704918034
"Soto, Juan",2021,93,145,95,268,9,151,111,535,3.543046357615894
"Seager, Corey",2020,37,17,41,124,1,52,38,184,3.5384615384615383
"Trout, Mike",2020,56,35,46,120,1,53,41,187,3.5283018867924527
"Abreu, Jose",2020,59,18,60,148,0,60,43,210,3.5
"Marte, Ketel",2019,86,53,92,337,10,144,97,503,3.4930555555555554
"Devers, Rafael",2019,119,48,115,359,8,156,129,540,3.4615384615384617
"Arenado, Nolan",2019,93,62,118,343,3,155,102,535,3.4516129032258065
"Ramirez, Jose",2021,87,72,103,297,27,152,111,523,3.4407894736842106
"Semien, Marcus",2019,102,87,92,343,10,162,123,553,3.4135802469135803
"Bogaerts, Xander",2019,122,76,117,341,4,155,110,526,3.393548387096774
"Tatis Jr., Fernando",2020,61,27,45,128,11,59,50,200,3.389830508474576
"Ramirez, Jose",2022,82,69,126,309,20,157,90,532,3.388535031847134
"Cruz Jr., Nelson",2019,131,56,108,290,0,120,81,404,3.3666666666666667
"Soto, Juan",2019,132,108,110,297,12,150,110,505,3.3666666666666667
"Blackmon, Charlie",2019,104,40,86,334,2,140,112,470,3.357142857142857
"Alvarez, Yordan",2022,106,78,97,288,1,135,95,453,3.3555555555555556
"Acuna Jr., Ronald",2020,60,38,29,93,8,46,46,154,3.347826086956522
"Freeman, Freddie",2019,127,87,121,328,6,158,113,528,3.3417721518987342
"LeMahieu, DJ",2019,90,46,102,312,5,145,109,484,3.3379310344827586
"Voit III, Luke",2020,54,17,52,130,0,56,41,186,3.3214285714285716
"Freeman, Freddie",2022,102,84,100,313,13,159,117,525,3.30188679245283
"Harper, Bryce",2021,134,100,84,300,13,141,101,464,3.2907801418439715
"Betts, Mookie",2022,104,55,82,305,12,142,117,467,3.288732394366197
"Harper, Bryce",2020,43,49,33,103,7,58,41,190,3.2758620689655173
"Gurriel, Yuli",2019,65,37,104,305,5,144,85,471,3.2708333333333335
"Bell, Josh",2019,118,74,116,300,0,143,94,466,3.2587412587412588
"Altuve, Jose",2019,82,41,74,275,6,124,89,403,3.25
"Altuve, Jose",2021,91,66,83,294,5,146,117,474,3.2465753424657535
"Tatis Jr., Fernando",2021,153,62,97,292,25,130,99,422,3.246153846153846
"Goldschmidt, Paul",2022,141,79,115,324,7,151,106,490,3.2450331125827816
"Lindor, Francisco",2019,98,46,74,310,22,143,101,455,3.1818181818181817
"Olson, Matt",2021,113,88,111,305,4,156,101,496,3.1794871794871793
"Santana, Carlos",2019,108,108,93,295,4,158,110,502,3.1772151898734178
"Kepler, Max",2019,99,60,90,272,1,134,98,422,3.1492537313432836
"Turner, Trea",2021,110,41,77,319,32,148,107,466,3.1486486486486487
"Martinez, J.D.",2019,138,72,105,320,2,146,98,459,3.143835616438356
"Altuve, Jose",2022,87,66,57,281,18,141,103,438,3.106382978723404
"Semien, Marcus",2021,146,66,102,351,15,162,115,503,3.1049382716049383
"Tucker, Kyle",2021,90,53,92,282,14,140,83,434,3.1
