player,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,fpoints_g
"Cruz Jr., Nelson",2022,40,0.512,0.363,0.341,92.9,11.8,31.8,13.6,8.1,52.5,73.8,31,43.4,25.5,22,9.1,26,1.6048387096774193
"Blackmon, Charlie",2022,34,0.45,0.359,0.369,87.6,10.2,32.6,7,3.5,38.5,67.9,26.2,47.4,22.3,24.4,5.9,27.7,2.1259259259259258
"McCutchen, Andrew",2022,34,0.431,0.344,0.352,88.8,14.6,33.6,9,8.4,39.5,63.7,19.1,40.9,30.5,21.6,7,28.7,2.044776119402985
"Turner, Justin",2022,36,0.47,0.359,0.358,90.9,19.2,36.5,7.9,8.6,42.4,66.9,22.7,35.4,33.1,24.5,7,25.5,2.4296875
"Andrus, Elvis",2022,32,0.375,0.308,0.324,87.8,8.1,34,2.1,5.9,34.8,65.9,31.9,47,17.5,28.4,7.1,26.7,2.046979865771812
"Santana, Carlos",2022,35,0.421,0.335,0.345,89.9,12.9,28,6.8,7.1,41.9,66.9,22.6,45.3,26.5,19.2,8.8,24.9,1.9618320610687023
"Gurriel, Yuli",2022,37,0.386,0.326,0.347,89.8,13.4,31,3.4,5.5,42,62.2,26.1,41.6,24.3,25.5,8.6,27,1.8287671232876712
"Rojas, Miguel",2022,32,0.345,0.292,0.308,86.2,11.5,32.4,2.8,4.7,32.9,66.4,26.3,45.6,22,24.3,8,26.6,1.4
"Escobar, Eduardo",2022,32,0.453,0.328,0.31,87,20.8,38,8.9,6.1,34.5,72.2,28.9,33.3,33.3,23,10.3,27.4,1.8455882352941175
"Pham, Tommy",2022,33,0.438,0.35,0.362,90.8,7.6,35.6,10,8.8,47.6,60,16,49.6,21.4,24.8,4.3,27.8,1.7777777777777777
"Martinez, J.D.",2022,33,0.533,0.374,0.352,92.1,16.9,41.2,12.5,10.8,49.4,76.5,33.7,34.1,31.5,28.9,5.4,26.1,2.0431654676258995
"Goldschmidt, Paul",2022,33,0.575,0.397,0.366,92.6,17.1,36.9,13.6,8.3,50.6,64.4,25.2,37.3,31.1,24.6,7,26.2,3.2450331125827816
"Altuve, Jose",2022,31,0.421,0.332,0.339,87.7,15.6,32.1,6.4,6.2,35,66.8,30.3,41,24.6,23.6,10.8,28,3.106382978723404
"Hernandez, Cesar",2022,31,0.386,0.311,0.319,87.4,10.7,32.6,6.8,5,33.2,68.3,26.1,47.3,25.1,23.7,3.9,28.7,1.4761904761904765
"Marte, Starling",2022,32,0.438,0.347,0.354,87.6,4.6,32.6,8.4,4.3,39.6,71,30.2,56.3,16.7,22.9,4,28.4,2.5762711864406778
"Donaldson, Josh",2022,35,0.542,0.388,0.372,94.1,14.6,30.2,17.4,4.8,52.7,70.2,22.6,43.9,28.5,20.5,7.1,24.5,1.5757575757575757
"Freeman, Freddie",2022,31,0.583,0.416,0.41,91.4,12,37.2,11.5,7.1,46.1,77.6,25.7,43.2,28.9,25.1,2.8,27,3.30188679245283
"LeMahieu, DJ",2022,32,0.397,0.34,0.366,90.6,5,33.3,3.7,6.9,43.5,62,20.4,52,18.3,26.8,3,26.5,2.368
"Rizzo, Anthony",2022,31,0.434,0.347,0.356,90.1,14.8,31.4,7.7,5.6,41.1,64.5,29.4,41.3,27.1,23.9,7.7,25.2,2.6
"Aguilar, Jesus",2022,31,0.453,0.334,0.329,89.6,19,34.7,8.5,5.5,41,63.8,27.4,33.3,31.7,26.7,8.3,24.3,1.3643410852713178
"Cron, C.J.",2022,31,0.481,0.364,0.36,88.8,15.8,31.9,11.5,5,42,66.3,30.8,38.7,32.5,21.3,7.6,25.9,2.193333333333334
"Semien, Marcus",2022,30,0.459,0.336,0.32,89.7,20.3,35.2,9.8,8.3,41.3,69.7,21.3,31,36.7,23.2,9,28.6,2.6335403726708075
"Grichuk, Randal",2022,29,0.402,0.297,0.278,89.8,16.1,30.4,8.5,6.2,41.1,73.7,32.4,39.7,29.4,20,11,28.1,1.7785714285714285
"Abreu, Jose",2022,34,0.457,0.349,0.347,92,10.4,31.2,10.2,9.2,49.3,66.7,32.2,47.3,25.6,21.7,5.3,26.5,2.420382165605095
"Suarez, Eugenio",2022,29,0.455,0.326,0.302,89.1,18.3,33,15,3.8,39.8,64.3,23.3,36.3,35.7,20.4,7.7,26.7,1.9266666666666667
"Schoop, Jonathan",2022,29,0.404,0.311,0.305,88.1,10.8,30.1,6.8,4.4,40.2,70.9,35.3,48.4,20.3,21.7,9.6,27,1.2061068702290076
"Arenado, Nolan",2022,30,0.42,0.311,0.308,89,20,34.1,6.7,6.9,37.5,67.4,29,31.3,32.7,24.8,11.1,25.4,3.0945945945945947
"Farmer, Kyle",2022,30,0.383,0.302,0.306,87.2,15.8,36,4.3,5.9,31.9,65.4,35.4,40.8,25.5,25.3,8.4,27,1.910344827586207
"Muncy, Max",2022,30,0.58,0.407,0.387,91.2,15.2,34.9,16.1,8.2,46.6,60.3,15.7,38.6,33.1,22.8,5.6,26.7,1.963235294117647
"Yastrzemski, Mike",2022,30,0.431,0.318,0.309,89.5,19.4,33.1,10.3,7.6,39.3,67.9,23,34.3,35.8,22,7.9,27.3,1.6554054054054057
"Canha, Mark",2022,32,0.378,0.332,0.358,87.3,13.5,36.1,7.1,5.9,35.4,61.4,20.7,42.2,24.4,26,7.4,27.8,1.9428571428571428
"Castellanos, Nick",2022,29,0.535,0.374,0.35,89.8,14,44,10.6,11.5,46.9,78.9,36.2,38,29.1,29.3,3.6,27.6,1.6764705882352942
"Judge, Aaron",2022,29,0.594,0.418,0.394,95.8,11.6,38.5,17.6,9.1,58.4,66.1,23.7,42.1,28,27.2,2.8,27.6,3.86624203821656
"Machado, Manny",2022,28,0.526,0.376,0.363,93.1,14,33.8,13.3,7,52.2,70.2,28.9,39.5,25.4,26.4,8.7,26.4,2.986666666666667
