last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Cruz Jr., Nelson,443558,2022,119,49,64,151,4,124,50,
Blackmon, Charlie,453568,2022,109,32,78,222,4,135,60,
McCutchen, Andrew,457705,2022,124,57,69,198,8,134,66,
Turner, Justin,457759,2022,89,50,81,205,3,128,61,
Andrus, Elvis,462101,2022,92,39,58,216,18,149,66,
Santana, Carlos,467793,2022,88,71,60,162,0,131,52,
Gurriel, Yuli,493329,2022,73,30,53,196,8,146,53,
Rojas, Miguel,500743,2022,61,26,36,152,9,140,34,
Escobar, Eduardo,500871,2022,129,40,69,213,0,136,58,
Pham, Tommy,502054,2022,167,56,63,207,8,144,89,
Martinez, J.D.,502110,2022,145,52,62,239,0,139,76,
Goldschmidt, Paul,502671,2022,141,79,115,324,7,151,106,
Altuve, Jose,514888,2022,87,66,57,281,18,141,103,
Hernandez, Cesar,514917,2022,114,45,34,178,10,147,64,
Marte, Starling,516782,2022,97,26,63,218,18,118,76,
Donaldson, Josh,518626,2022,148,54,62,179,2,132,59,
Freeman, Freddie,518692,2022,102,84,100,313,13,159,117,
LeMahieu, DJ,518934,2022,71,67,46,176,4,125,74,
Rizzo, Anthony,519203,2022,101,58,75,223,6,130,77,
Flores, Wilmer,527038,2022,103,59,71,207,0,151,72,
Ozuna, Marcell,542303,2022,122,31,56,194,2,124,56,
Aguilar, Jesus,542583,2022,119,28,51,176,1,129,39,
Cron, C.J.,543068,2022,164,43,102,269,0,150,79,
Semien, Marcus,543760,2022,120,53,83,282,25,161,101,
Springer III, George,543807,2022,100,54,76,242,14,133,89,
Grichuk, Randal,545341,2022,127,24,73,215,4,140,60,
Abreu, Jose,547989,2022,110,62,75,268,0,157,85,
Suarez, Eugenio,553993,2022,196,73,87,249,0,150,76,
Urshela, Gio,570482,2022,96,41,64,215,1,144,61,
Schoop, Jonathan,570731,2022,107,19,38,155,5,131,48,
Arenado, Nolan,571448,2022,72,52,103,297,5,148,73,
Farmer, Kyle,571657,2022,99,33,78,203,4,145,58,
Muncy, Max,571970,2022,141,90,69,178,2,136,69,
Pollock, AJ,572041,2022,98,32,56,190,3,138,61,
Voit III, Luke,572228,2022,179,55,69,201,1,135,55,
Walker, Christian,572233,2022,131,69,94,278,2,160,84,
Yastrzemski, Mike,573262,2022,141,61,57,190,5,148,73,
Canha, Mark,592192,2022,97,48,61,186,3,140,71,
Castellanos, Nick,592206,2022,130,29,62,204,7,136,56,
Drury, Brandon,592273,2022,126,38,87,255,2,138,87,
Judge, Aaron,592450,2022,175,111,131,391,16,157,133,
Machado, Manny,592518,2022,133,63,102,307,9,150,100,
Realmuto, J.T.,592663,2022,119,41,84,241,21,139,75,
Renfroe, Hunter,592669,2022,121,39,72,233,1,125,62,
Yelich, Christian,592885,2022,162,88,57,220,19,154,99,
Merrifield, Whit,593160,2022,85,38,58,189,16,139,70,
Bogaerts, Xander,593428,2022,118,57,73,254,8,150,84,
Profar, Jurickson,595777,2022,103,73,58,225,5,152,82,
Baez, Javier,595879,2022,147,26,67,218,9,144,64,
Lindor, Francisco,596019,2022,133,59,107,283,16,161,98,
Bell, Josh,605137,2022,102,81,71,233,0,156,78,
Betts, Mookie,605141,2022,104,55,82,305,12,142,117,
Hernandez, Teoscar,606192,2022,152,34,77,245,6,131,71,
Marte, Ketel,606466,2022,101,55,52,200,5,137,68,
Nimmo, Brandon,607043,2022,116,71,64,251,3,151,102,
Turner, Trea,607208,2022,131,45,100,304,27,160,101,
Ramirez, Jose,608070,2022,82,69,126,309,20,157,90,
Bregman, Alex,608324,2022,77,87,93,249,1,155,93,
Seager, Corey,608369,2022,103,58,83,270,3,151,91,
Winker, Jesse,608385,2022,103,84,53,157,0,136,51,
Swanson, Dansby,621020,2022,182,49,96,286,18,162,99,
Correa, Carlos,621043,2022,121,61,64,244,0,136,70,
Ward, Taylor,621493,2022,120,60,65,234,5,135,73,
Wisdom, Patrick,621550,2022,183,53,66,200,8,134,67,
