player,IP,W,L,SV,HLD
"Alcantara, Sandy",200.2,13.8,8.9,0,0
"Valdez, Framber",194,15,6.7,0,0
"Nola, Aaron",191,13.4,8,0,0
"Fried, Max",191,14.3,7.2,0,0
"Burnes, Corbin",191,13.4,7.7,0,0
"Cole, Gerrit",187.9,13.5,7.2,0,0
"Manoah, Alek",187.9,13.7,7.7,0,0
"Bassitt, Chris",184.8,13.4,7.7,0,0
"Darvish, Yu",184.8,14.1,7,0,0
"Castillo, Luis",184.8,12.8,7.9,0,0
"Mikolas, Miles",184.8,12.9,8.4,0,0
"Wright, Kyle",184.8,13.3,7.7,0,0
"Webb, Logan",184.8,12.1,8.8,0,0
"Singer, Brady",184.8,11.6,9.3,0,0
"Gallen, Zac",184.8,12,8.7,0,0
"Bieber, Shane",184.8,12.7,8,0,0
"Wheeler, Zack",181.7,12.4,7.7,0,0
"Ray, Robbie",181.7,12.2,8.5,0,0
"Marquez, German",181.7,10.6,10,0,0
"Kelly, Merrill",181.7,11.3,9.6,0,0
"McKenzie, Triston",181.7,12.1,8.6,0,0
"Lynn, Lance",178.6,11.6,8.4,0,0
"Woodruff, Brandon",178.6,11.8,8,0,0
"Cease, Dylan",178.6,11.8,8.1,0,0
"Gilbert, Logan",178.6,11.8,8.5,0,0
"Anderson, Tyler",175.6,11.5,8.8,0,0
"Urias, Julio",175.6,11.8,7.9,0,0
"Gonzales, Marco",175.6,10.9,9.7,0,0
"Wainwright, Adam",172.8,11.5,8.8,0,0
"Urquidy, Jose",172.8,12.2,8,0,0
"Gausman, Kevin",172.5,12.3,6.8,0,0
"Freeland, Kyle",172.5,9.1,10.9,0,0
"Irvin, Cole",172.5,10,10,0,0
"Quantrill, Cal",172.5,10.6,9.4,0,0
"Montgomery, Jordan",172.5,11.8,7.6,0,0
"McClanahan, Shane",172.3,12.2,6.6,0,0
"Verlander, Justin",172,12.6,6.5,0,0
"Walker, Taijuan",169.4,10.4,9,0,0
"Stroman, Marcus",169.4,10,9.1,0,0
"Morton, Charlie",169.4,11.8,7.1,0,0
"Pivetta, Nick",169.4,10.1,9.4,0,0
"Scherzer, Max",167.8,12.4,6.3,0,0
"Rodon, Carlos",166.4,11.6,6.4,0,0
"Javier, Cristian",166.4,12,6.7,0,0
"Kirby, George",166.4,10.9,7.8,0,0
"Perez, Martin",166.4,9.9,9.1,0,0
"Berrios, Jose",166.3,11.1,7.8,0,0
"Suarez, Ranger",166.3,10.4,8.2,0,0
"Ryan, Joe",166.3,10.1,8.6,0,0
"Ohtani, Shohei",165,11.9,6.2,0,0
"Sandoval, Patrick",163.9,10.8,7.5,0,0
"Eovaldi, Nathan",163.9,9.6,8.7,0,0
"Lopez, Pablo",163.5,10.3,8,0,0
"Garcia, Luis",163.5,11.5,7.1,0,0
"Gray, Jon",163.2,9.3,8.8,0,0
"Giolito, Lucas",163.2,9.7,8.7,0,0
"Musgrove, Joe",162,12.2,6.2,0,0
"Manaea, Sean",160.9,9.5,8.7,0,0
"Strider, Spencer",160.9,11.5,5.7,0,0
"Taillon, Jameson",160.6,9.2,9.1,0,0
"Lauer, Eric",160.6,9.8,8.5,0,0
"Ashcraft, Graham",160.6,8.6,9.6,0,0
"Detmers, Reid",160.6,10.4,7.8,0,0
"Lyles, Jordan",160.2,8,10.8,0,0
"Cortes, Nestor",159,10.6,7.3,0,0
"Bumgarner, Madison",157.9,8.5,10,0,0
"Gray, Josiah",157.9,8,10.1,0,0
"Gibson, Kyle",157.7,9,8.9,0,0
"Cobb, Alex",157.7,9.7,7.6,0,0
"Gonsolin, Tony",157.7,10.1,7.7,0,0
"Lodolo, Nick",157.7,8.8,8.3,0,0
"Rodriguez, Eduardo",154.8,8.1,9.2,0,0
"Kluber, Corey",154.8,8.9,9,0,0
"Keller, Mitch",154.8,8.5,9.2,0,0
"Carrasco, Carlos",154.8,10,7.5,0,0
"Severino, Luis",154,10.4,6.5,0,0
"Cueto, Johnny",152.8,9.2,8.8,0,0
"Gray, Sonny",151.8,8.9,8,0,0
"Mahle, Tyler",151.8,8.8,8.2,0,0
"Rasmussen, Drew",151.8,9.5,7.4,0,0
"Brubaker, JT",151.8,8.3,8.9,0,0
"Greene, Hunter",151.8,8.1,8.3,0,0
"Blackburn, Paul",147.9,7.3,9.7,0,0
"Steele, Justin",147.9,8.4,8,0,0
"Kremer, Dean",147.6,8.7,8.4,0,0
"Snell, Blake",145.8,10.4,5.5,0,0
"Kaprielian, James",145.1,6.7,10.2,0,0
"Luzardo, Jesus",145,8.8,7.5,0,0
"Corbin, Patrick",143.1,6.6,9.6,0,0
"Springs, Jeffrey",142.3,8.7,7,0,0
"Stripling, Ross",141.5,8.2,7.9,0,0
"Kershaw, Clayton",140.9,9.8,5.8,0,0
"Suarez, Jose",140.3,8.4,7.5,0,0
"Bradish, Kyle",140.3,7.7,8,0,0
"Senga, Kodai",139.9,9.4,6.2,0,0
"Contreras, Roansy",139.5,7.4,8.2,0,0
"Greinke, Zack",138.9,7.4,8.7,0,0
"deGrom, Jacob",138.5,9.1,5.4,0,0
"Davies, Zach",137.5,7,9,0,0
"Heaney, Andrew",137.5,7.5,7.3,0,0
"Flaherty, Jack",137.5,8.4,7.1,0,0
"May, Dustin",137.3,9,6,0,0
"Senzatela, Antonio",134.8,6,9.4,0,0
"Eflin, Zach",134.7,8.3,6.9,0,0
"Manning, Matt",134.7,6.5,9,0,0
"Cabrera, Edward",133.6,7.4,7.5,0,0
"Syndergaard, Noah",131.2,8.1,7.1,0,0
"Lorenzen, Michael",131.2,6.7,8.4,0,0
"Quintana, Jose",130.5,8.3,6.4,0,0
"Waldichuk, Ken",129.5,6.1,8.2,0,0
"Sale, Chris",128.8,8.1,5.8,0,0
"Urena, Jose",128.8,6.3,8.6,0,0
"Peralta, Freddy",128.8,7.8,6.6,0,0
"Fujinami, Shintaro",126.4,6,8.5,0,0
"Kopech, Michael",125.8,6.7,7.4,0,0
"Wacha, Michael",124.9,8.7,5.7,0,0
"Matz, Steven",123.9,7.9,6,0,0
"Rodriguez, Grayson",123.9,6.9,6.8,0,0
"Gore, MacKenzie",123,5.9,7.8,0,0
"Plesac, Zach",122.6,7.3,6.9,0,0
"Wood, Alex",121.5,6.8,6.5,0,0
"Boyd, Matthew",121.5,5.8,7.7,0,0
"Cavalli, Cade",121.5,5.8,7.9,0,0
"Martinez, Nick",118,7.9,5.6,0,0
"Maeda, Kenta",115.8,6.6,6.4,0,0
"Painter, Andrew",114.2,6.6,6.4,0,0
