last_name, first_name,player_id,year,player_age,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Cabrera, Miguel,408234,2021,38,.420,.315,.301,91.4,10,32.8,8.3,8.5,49,69.1,30.2,49,25.9,21.5,3.6,23.9,
Cruz Jr., Nelson,443558,2021,40,.512,.363,.341,92.9,11.8,31.8,13.6,8.1,52.5,73.8,31,43.4,25.5,22,9.1,26.0,
Peralta, David,444482,2021,33,.345,.293,.313,89.3,5.3,27.2,5,4.5,41.8,66.3,27.4,54.9,15.6,23.2,6.3,27.6,
Blackmon, Charlie,453568,2021,34,.450,.359,.369,87.6,10.2,32.6,7,3.5,38.5,67.9,26.2,47.4,22.3,24.4,5.9,27.7,
McCutchen, Andrew,457705,2021,34,.431,.344,.352,88.8,14.6,33.6,9,8.4,39.5,63.7,19.1,40.9,30.5,21.6,7,28.7,
Turner, Justin,457759,2021,36,.470,.359,.358,90.9,19.2,36.5,7.9,8.6,42.4,66.9,22.7,35.4,33.1,24.5,7,25.5,
Votto, Joey,458015,2021,37,.592,.406,.383,92.9,18.2,44.3,17.2,9.2,53.2,67.9,22,33.2,36.9,25.2,4.6,25.1,
Andrus, Elvis,462101,2021,32,.375,.308,.324,87.8,8.1,34,2.1,5.9,34.8,65.9,31.9,47,17.5,28.4,7.1,26.7,
Santana, Carlos,467793,2021,35,.421,.335,.345,89.9,12.9,28,6.8,7.1,41.9,66.9,22.6,45.3,26.5,19.2,8.8,24.9,
Lowrie, Jed,476704,2021,37,.464,.343,.332,90.7,16.4,36.5,9.3,9.6,45.9,70.8,20.9,36.8,32.6,24.9,5.7,25.2,
Brantley Jr., Michael,488726,2021,34,.466,.361,.365,89.5,9.9,38.8,5.8,6.2,42.9,65.9,24.1,46.8,20.6,28.8,3.8,25.7,
Gurriel, Yuli,493329,2021,37,.386,.326,.347,89.8,13.4,31,3.4,5.5,42,62.2,26.1,41.6,24.3,25.5,8.6,27.0,
