#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
1,Sandy Alcantara,MIA,SP,R,30.8,30.8,19.3,834.6,200.2,13.8,8.9,0,0,3.46,3.31,1.18,190.3,52.1,183.5,8.5,80.0,87.4,20,46.9,33.8,19.3,0.291
2,Framber Valdez,HOU,SP,L,30.8,30.8,19.5,810.7,194.0,15.0,6.7,0,0,3.26,3.28,1.27,184.9,67.5,178.6,9.7,71.4,79.7,14,60.4,19.6,20.0,0.305
3,Aaron Nola,PHI,SP,R,30.8,30.8,18.9,786.1,191.0,13.4,8.0,0,0,3.43,3.22,1.10,207.8,41.5,169.2,8.2,74.6,81.0,24,42.1,38.0,19.8,0.286
4,Max Fried,ATL,SP,L,30.8,30.8,18.8,795.1,191.0,14.3,7.2,0,0,3.52,3.54,1.21,172.9,45.7,185.8,7.0,75.5,83.1,20,48.6,31.6,19.8,0.303
5,Corbin Burnes,MIL,SP,R,30.8,30.8,19.6,781.7,191.0,13.4,7.7,0,0,3.08,2.93,1.10,235.2,53.9,155.7,8.6,67.8,74.3,20,45.0,35.7,19.4,0.284
6,Gerrit Cole,NYY,SP,R,30.8,30.8,19.4,760.3,187.9,13.5,7.2,0,0,3.16,2.96,1.05,233.4,45.9,151.7,4.6,67.7,73.6,24,39.0,41.9,19.1,0.282
7,Alek Manoah,TOR,SP,R,30.8,30.8,17.2,795.7,187.9,13.7,7.7,0,0,3.81,3.78,1.19,183.5,56.6,166.3,12.7,84.2,90.4,27,37.7,42.4,19.9,0.270
8,Chris Bassitt,TOR,SP,R,30.8,30.8,17.0,779.7,184.8,13.4,7.7,0,0,3.86,3.81,1.22,163.6,51.2,174.7,10.2,82.3,89.1,24,43.7,36.2,20.1,0.283
9,Yu Darvish,SD,SP,R,29.8,29.8,17.1,766.3,184.8,14.1,7.0,0,0,3.60,3.42,1.11,194.7,45.2,160.2,8.9,78.4,83.8,27,36.1,44.3,19.6,0.269
10,Luis Castillo,SEA,SP,R,30.8,30.8,18.0,774.3,184.8,12.8,7.9,0,0,3.38,3.32,1.21,196.7,59.9,162.8,7.3,71.4,78.2,19,48.2,32.3,19.5,0.286
11,Miles Mikolas,STL,SP,R,30.8,30.8,16.5,781.6,184.8,12.9,8.4,0,0,3.98,3.91,1.24,141.7,43.0,186.4,7.3,83.7,90.5,24,44.2,35.9,19.9,0.288
12,Kyle Wright,ATL,SP,R,30.8,30.8,17.4,783.3,184.8,13.3,7.7,0,0,3.93,3.86,1.30,170.6,60.0,180.1,8.7,80.8,88.4,19,50.1,30.0,19.8,0.306
13,Logan Webb,SF,SP,R,30.8,30.8,17.6,781.0,184.8,12.1,8.8,0,0,3.62,3.45,1.27,159.1,52.6,182.6,8.3,76.6,84.2,16,53.4,26.4,20.2,0.305
14,Brady Singer,KC,SP,R,30.8,30.8,17.6,778.4,184.8,11.6,9.3,0,0,3.75,3.67,1.23,169.1,53.6,173.9,9.8,78.4,85.5,19,47.6,32.5,19.9,0.300
15,Zac Gallen,ARI,SP,R,30.8,30.8,17.7,775.1,184.8,12.0,8.7,0,0,3.56,3.43,1.18,197.7,58.7,159.4,8.6,77.0,83.4,21,41.9,38.3,19.9,0.283
16,Shane Bieber,CLE,SP,R,30.8,30.8,18.4,763.6,184.8,12.7,8.0,0,0,3.47,3.34,1.16,193.2,43.4,171.2,5.4,71.2,77.7,22,45.0,35.0,20.0,0.297
17,Zack Wheeler,PHI,SP,R,30.8,30.8,18.2,749.4,181.7,12.4,7.7,0,0,3.35,3.24,1.14,180.6,43.7,163.8,7.3,70.3,77.0,20,45.6,34.9,19.5,0.287
18,Robbie Ray,SEA,SP,L,30.8,30.8,16.8,766.6,181.7,12.2,8.5,0,0,3.75,3.70,1.19,210.3,60.2,156.7,6.2,77.9,83.6,28,36.8,43.3,19.9,0.273
19,German Marquez,COL,SP,R,30.8,30.8,16.6,770.4,181.7,10.6,10.0,0,0,4.47,4.34,1.36,153.8,59.6,187.7,5.4,94.1,102.1,25,46.4,33.9,19.7,0.314
20,Merrill Kelly,ARI,SP,R,30.8,30.8,16.2,773.5,181.7,11.3,9.6,0,0,4.16,4.12,1.29,156.4,55.7,178.9,5.0,85.9,92.6,24,40.9,39.0,20.1,0.291
21,Triston McKenzie,CLE,SP,R,30.8,30.8,16.6,764.4,181.7,12.1,8.6,0,0,3.88,3.89,1.18,192.2,57.4,156.4,6.2,82.3,87.7,29,31.5,48.4,20.0,0.264
