player,xslg,xwoba,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,oz_swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,avg_fpoints
"Abreu, Jose",0.51175,0.36975,0.352,92.3,10.05,34.575,11.7,8.075,50.65,67,32.25,46.55,23.725,25,4.7,26.475,2.7774929263731374
"Acuna Jr., Ronald",0.5503333333333333,0.392,0.3773333333333333,91.4,14.533333333333333,35.766666666666666,14.6,11.066666666666666,51.36666666666667,68.7,22.766666666666666,40.733333333333334,28.7,24.166666666666668,6.4,29.03333333333333,2.89147531922468
"Adames, Willy",0.43,0.31875,0.30774999999999997,88.925,14.75,36.125,10.675,7.55,41.1,70.425,27.075,40.925,27.2,24.375,7.5,28.075,1.9270847732841296
"Aguilar, Jesus",0.4326666666666667,0.32566666666666666,0.32166666666666666,88.86666666666666,18.033333333333335,37.300000000000004,7.533333333333333,6.366666666666667,38.166666666666664,64.1,31.866666666666664,34.56666666666666,28.333333333333332,28.6,8.633333333333333,24.233333333333334,2.096500663109199
"Ahmed, Nick",0.39949999999999997,0.3125,0.316,87.75,8.5,32.900000000000006,5.9,5.35,33.65,70.80000000000001,29.1,50.05,18.9,25.200000000000003,5.800000000000001,28.15,2.1107594936708862
"Alberto, Hanser",0.35550000000000004,0.28049999999999997,0.2885,83.35,12.55,32.55,1.95,2.9000000000000004,19.6,75.1,48.8,47.650000000000006,21.049999999999997,23.65,7.6000000000000005,26.85,2.2138955502264857
"Albies, Ozzie",0.47550000000000003,0.3405,0.32799999999999996,89.25,18.35,36.9,7.95,7.15,35.6,81.55000000000001,34.3,34.75,32.7,26.05,6.5,28.5,2.911458333333333
"Alonso, Pete",0.512,0.3615,0.34475,90.425,15.8,34.075,13.925,6.1,44,68.625,31.675,39.025,29.825,22.175,8.95,26.075,2.7044075882641385
"Altuve, Jose",0.4235,0.3295,0.33125,86.92500000000001,12.675,30.125,6.7,5.675,33.125,66.625,31.225,45.925,23.55,21.475,9.05,28.275,2.9007395802972895
"Alvarez, Yordan",0.621,0.4255,0.39049999999999996,94.2,13.2,38.95,18.45,7.55,57,62.8,25.55,38.95,30.3,27.3,3.5,26.4,3.021527777777778
"Anderson, Brian",0.4395,0.3315,0.329,88.65,10.35,33.05,9.25,6.95,42.65,69.30000000000001,30.75,47.3,23.9,24.15,4.65,26.7,2.0494350282485874
"Anderson, Tim",0.4706666666666667,0.3373333333333333,0.31833333333333336,88.36666666666666,6.566666666666666,34.46666666666667,7.666666666666666,5.4,38.56666666666666,75.83333333333333,39.93333333333333,53.36666666666667,20.666666666666668,24.066666666666666,1.9333333333333333,28.466666666666665,2.6759581881533103
"Andrus, Elvis",0.37866666666666665,0.304,0.313,88.03333333333333,9.066666666666666,31.866666666666667,3.3666666666666667,4.666666666666667,34.8,63.13333333333333,31.3,48.6,19.433333333333334,25.166666666666668,6.8,26.433333333333334,1.991834900121061
"Arcia, Orlando",0.38949999999999996,0.3075,0.313,88.45,8.1,31.9,4.949999999999999,5.449999999999999,35,66.5,29.3,49.95,18.4,26.1,5.55,26.25,1.5706400535236398
"Arenado, Nolan",0.43425,0.32025000000000003,0.31825000000000003,88.725,19.625,32.8,7.075,6.425,36.925,68.4,32.2,33.825,28.45,24.325,13.35,25.4,2.9698520336907692
"Arozarena, Randy",0.3755,0.3025,0.307,89.9,8.2,28.95,8.05,5.8,41.65,65.2,27.85,49.7,20.15,21.8,8.350000000000001,28.8,2.230565985259352
"Arraez, Luis",0.408,0.333,0.35,88.9,12.9,38.7,3.6,5.7,30.2,63.2,24.1,41.2,25.4,29.8,3.6,26.8,2.625
"Baez, Javier",0.431,0.30625,0.28200000000000003,89.625,9.55,30.875,10.55,6.125,41.775,72.625,43.35,49.5,23.275,20.95,6.25,28.275,1.807061379267993
"Bell, Josh",0.4635,0.34975,0.354,91.375,8.075,29.525,9.325,5.45,45.725,73.15,25.775,51.35,21.8,22.05,4.875,26.35,2.367260663313295
"Bellinger, Cody",0.49433333333333335,0.3606666666666667,0.355,89.93333333333334,18.266666666666666,34.4,10.133333333333333,6.533333333333333,41.833333333333336,68.4,27.8,35.9,30.766666666666666,24.966666666666665,8.366666666666667,28.5,2.7215099715099713
"Belt, Brandon",0.457,0.346,0.349,87.3,22.4,41.4,8.7,9.7,35.7,75.3,22.7,30,33.5,27,9.4,24.7,1.955128205128205
"Benintendi, Andrew",0.43966666666666665,0.33466666666666667,0.3333333333333333,89.3,15.1,39.266666666666666,7.366666666666666,6.833333333333333,39.9,74.76666666666667,27.5,40.8,29.766666666666666,24.366666666666667,5.033333333333333,27.400000000000002,2.1978015375160087
"Betts, Mookie",0.493,0.3685,0.36575,90.625,18.825,37.375,8.875,8.925,44.2,62.15,20.575,33.35,32.6,26.225,7.824999999999999,27.65,3.4121980017212064
"Bichette, Bo",0.4665,0.34450000000000003,0.3295,91.65,7.9,33.4,9.75,5.75,48.9,78.6,36.650000000000006,49.2,22.15,24.25,4.35,27.75,2.6729559748427674
