player,G
"Soto, Juan",151
"Altuve, Jose",148
"Betts, Mookie",147
"Turner, Trea",150
"Freeman, Freddie",150
"Bichette, Bo",151
"Mullins, Cedric",151
"Judge, Aaron",150
"Rosario, Amed",151
"Guerrero Jr., Vladimir",151
"Semien, Marcus",150
"Machado, Manny",150
"Ohtani, Shohei",151
"Goldschmidt, Paul",150
"Devers, Rafael",150
"Witt Jr., Bobby",151
"Riley, Austin",151
"Rodriguez, Julio",150
"Swanson, Dansby",150
"Nimmo, Brandon",147
"Olson, Matt",150
"Adames, Willy",147
"Carroll, Corbin",148
"Alonso, Pete",150
"Bogaerts, Xander",150
"Ramirez, Jose",150
"Tucker, Kyle",151
"Reynolds, Bryan",148
"Lindor, Francisco",148
"France, Ty",148
"Arenado, Nolan",150
"India, Jonathan",144
"Lowe, Nathaniel",151
"Ward, Taylor",144
"Acuna Jr., Ronald",141
"Alvarez, Yordan",147
"Greene, Riley",147
"Seager, Corey",147
"Hoskins, Rhys",147
"Harris II, Michael",148
"Cronenworth, Jake",150
"Yelich, Christian",141
"Verdugo, Alex",151
"Happ, Ian",150
"Trout, Mike",142
"McMahon, Ryan",147
"Anderson, Tim",140
"Bregman, Alex",147
"Arozarena, Randy",147
"Correa, Carlos",144
"Hayes, Ke’Bryan",144
"Mountcastle, Ryan",148
"Schwarber, Kyle",144
"Gimenez, Andres",151
"Chapman, Matt",150
"Franco, Wander",145
"Garcia, Adolis",150
"Cron, C.J.",145
"Henderson, Gunnar",149
"Walker, Christian",147
"Abreu, Jose",148
"Baez, Javier",147
"Springer, George",136
"Suzuki, Seiya",144
"Kwan, Steven",144
"Vaughn, Andrew",148
"Marte, Ketel",143
"Santander, Anthony",148
"Pena, Jeremy",147
"Suarez, Eugenio",148
"Hernandez, Teoscar",147
"Edman, Tommy",151
"Marte, Starling",138
"Urias, Luis",145
"Hoerner, Nico",141
"McCarthy, Jake",144
"Pasquantino, Vinnie",145
"McNeil, Jeff",144
"Cruz, Oneil",138
"Martinez, J.D.",142
"Castellanos, Nick",144
"Bell, Josh",142
"Laureano, Ramon",141
"Albies, Ozzie",141
"Polanco, Jorge",140
"Bryant, Kris",134
"Bohm, Alec",147
"Rizzo, Anthony",137
"Chisholm Jr., Jazz",137
"Segura, Jean",134
"Diaz, Yandy",135
"Muncy, Max",137
"Carlson, Dylan",137
"Jimenez, Eloy",137
"Lowe, Brandon",137
"Abrams, CJ",145
"Estrada, Thairo",142
"Crawford, J.P.",151
"Robert Jr., Luis",133
"Rutschman, Adley",135
"Thomas, Lane",137
"Moncada, Yoan",140
"Rodgers, Brendan",141
"Hays, Austin",141
"Tellez, Rowdy",135
"Torres, Gleyber",135
"Stanton, Giancarlo",132
"Arraez, Luis",134
"Realmuto, J.T.",136
"Miranda, Jose",137
"Turner, Justin",133
"Gurriel Jr., Lourdes",133
"Haniger, Mitch",130
"Taylor, Chris",140
"Benintendi, Andrew",132
"Smith, Will",127
"Melendez, MJ",130
"Gonzalez, Oscar",134
"Perez, Salvador",130
"O’Neill, Tyler",130
"Kirk, Alejandro",127
"Stephenson, Tyler",129
"Schoop, Jonathan",134
"Meadows, Austin",128
"Canha, Mark",133
"Soler, Jorge",129
"Renfroe, Hunter",132
"Buxton, Byron",122
"Lux, Gavin",134
"Yoshida, Masataka",130
"Yastrzemski, Mike",126
"Garcia, Avisail",130
"Naylor, Josh",132
"Donovan, Brendan",134
"Varsho, Daulton",130
"Bellinger, Cody",127
"Bader, Harrison",129
"Grichuk, Randal",127
"Myers, Wil",129
"Margot, Manuel",127
"Rojas, Josh",125
"Blackmon, Charlie",120
"Candelario, Jeimer",127
"Contreras, Willson",125
"Rendon, Anthony",122
"Santana, Carlos",123
"Garcia, Luis",130
"Kim, Ha-Seong",122
"Conforto, Michael",125
"Tatis Jr., Fernando",112
"Casas, Triston",130
"Morel, Christopher",130
"Hernandez, Enrique",124
"Cooper, Garrett",122
"Winker, Jesse",122
"Kemp, Tony",128
"Jung, Josh",131
"Murphy, Sean",124
"Brantley, Michael",116
"Grisham, Trent",131
"De La Cruz, Bryan",130
"Torkelson, Spencer",130
"Merrifield, Whit",130
"Taveras, Leody",135
"Meneses, Joey",121
"Brown, Seth",121
"Rengifo, Luis",130
"Drury, Brandon",123
"Crawford, Brandon",126
"Pederson, Joc",120
"Wong, Kolten",124
"Wendle, Joey",125
"Vargas, Miguel",122
"Escobar, Eduardo",119
"Ruiz, Keibert",117
"LeMahieu, DJ",111
"Gallo, Joey",121
"Marsh, Brandon",130
"Friedl, TJ",115
"Kepler, Max",118
"Choi, Ji-Man",118
"Gordon, Nick",122
"Langeliers, Shea",122
"Steer, Spencer",122
"Tovar, Ezequiel",122
"Fraley, Jake",117
"Contreras, William",113
"Stott, Bryson",127
"Mancini, Trey",114
"Flores, Wilmer",113
"Taylor, Tyrone",123
"Diaz, Aledmys",116
"Nootbaar, Lars",115
"McCutchen, Andrew",112
"Frazier, Adam",121
"Votto, Joey",106
"Paredes, Isaac",114
"Waters, Drew",122
"Daza, Yonathan",110
"Kelenic, Jarred",118
"Smith, Dominic",113
