player,Team
"Soto, Juan",SD
"Altuve, Jose",HOU
"Betts, Mookie",LAD
"Turner, Trea",PHI
"Freeman, Freddie",LAD
"Bichette, Bo",TOR
"Mullins, Cedric",BAL
"Judge, Aaron",NYY
"Rosario, Amed",CLE
"Guerrero Jr., Vladimir",TOR
"Semien, Marcus",TEX
"Machado, Manny",SD
"Ohtani, Shohei",LAA
"Goldschmidt, Paul",STL
"Devers, Rafael",BOS
"Witt Jr., Bobby",KC
"Riley, Austin",ATL
"Rodriguez, Julio",SEA
"Swanson, Dansby",CHC
"Nimmo, Brandon",NYM
"Olson, Matt",ATL
"Adames, Willy",MIL
"Carroll, Corbin",ARI
"Alonso, Pete",NYM
"Bogaerts, Xander",SD
"Ramirez, Jose",CLE
"Tucker, Kyle",HOU
"Reynolds, Bryan",PIT
"Lindor, Francisco",NYM
"France, Ty",SEA
"Arenado, Nolan",STL
"India, Jonathan",CIN
"Lowe, Nathaniel",TEX
"Ward, Taylor",LAA
"Acuna Jr., Ronald",ATL
"Alvarez, Yordan",HOU
"Greene, Riley",DET
"Seager, Corey",TEX
"Hoskins, Rhys",PHI
"Harris II, Michael",ATL
"Cronenworth, Jake",SD
"Yelich, Christian",MIL
"Verdugo, Alex",BOS
"Happ, Ian",CHC
"Trout, Mike",LAA
"McMahon, Ryan",COL
"Anderson, Tim",CHW
"Bregman, Alex",HOU
"Arozarena, Randy",TB
"Correa, Carlos",MIN
"Hayes, Ke’Bryan",PIT
"Mountcastle, Ryan",BAL
"Schwarber, Kyle",PHI
"Gimenez, Andres",CLE
"Chapman, Matt",TOR
"Franco, Wander",TB
"Garcia, Adolis",TEX
"Cron, C.J.",COL
"Henderson, Gunnar",BAL
"Walker, Christian",ARI
"Abreu, Jose",HOU
"Baez, Javier",DET
"Springer, George",TOR
"Suzuki, Seiya",CHC
"Kwan, Steven",CLE
"Vaughn, Andrew",CHW
"Marte, Ketel",ARI
"Santander, Anthony",BAL
"Pena, Jeremy",HOU
"Suarez, Eugenio",SEA
"Hernandez, Teoscar",SEA
"Edman, Tommy",STL
"Marte, Starling",NYM
"Urias, Luis",MIL
"Hoerner, Nico",CHC
"McCarthy, Jake",ARI
"Pasquantino, Vinnie",KC
"McNeil, Jeff",NYM
"Cruz, Oneil",PIT
"Martinez, J.D.",LAD
"Castellanos, Nick",PHI
"Bell, Josh",CLE
"Laureano, Ramon",OAK
"Albies, Ozzie",ATL
"Polanco, Jorge",MIN
"Bryant, Kris",COL
"Bohm, Alec",PHI
"Rizzo, Anthony",NYY
"Chisholm Jr., Jazz",MIA
"Segura, Jean",MIA
"Diaz, Yandy",TB
"Muncy, Max",LAD
"Carlson, Dylan",STL
"Jimenez, Eloy",CHW
"Lowe, Brandon",TB
"Abrams, CJ",WSH
"Estrada, Thairo",SF
"Crawford, J.P.",SEA
"Robert Jr., Luis",CHW
"Rutschman, Adley",BAL
"Thomas, Lane",WSH
"Moncada, Yoan",CHW
"Rodgers, Brendan",COL
"Hays, Austin",BAL
"Tellez, Rowdy",MIL
"Torres, Gleyber",NYY
"Stanton, Giancarlo",NYY
"Arraez, Luis",MIA
"Realmuto, J.T.",PHI
"Miranda, Jose",MIN
"Turner, Justin",BOS
"Gurriel Jr., Lourdes",ARI
"Haniger, Mitch",SF
"Taylor, Chris",LAD
"Benintendi, Andrew",CHW
"Smith, Will",LAD
"Melendez, MJ",KC
"Gonzalez, Oscar",CLE
"Perez, Salvador",KC
"O’Neill, Tyler",STL
"Kirk, Alejandro",TOR
"Stephenson, Tyler",CIN
"Schoop, Jonathan",DET
"Meadows, Austin",DET
"Canha, Mark",NYM
"Soler, Jorge",MIA
"Renfroe, Hunter",LAA
"Buxton, Byron",MIN
"Lux, Gavin",LAD
"Yoshida, Masataka",BOS
"Yastrzemski, Mike",SF
"Garcia, Avisail",MIA
"Naylor, Josh",CLE
"Donovan, Brendan",STL
"Varsho, Daulton",TOR
"Bellinger, Cody",CHC
"Bader, Harrison",NYY
"Grichuk, Randal",COL
"Myers, Wil",CIN
"Margot, Manuel",TB
"Rojas, Josh",ARI
"Blackmon, Charlie",COL
"Candelario, Jeimer",WSH
"Contreras, Willson",STL
"Rendon, Anthony",LAA
"Santana, Carlos",PIT
"Garcia, Luis",WSH
"Kim, Ha-Seong",SD
"Conforto, Michael",SF
"Tatis Jr., Fernando",SD
"Casas, Triston",BOS
"Morel, Christopher",CHC
"Hernandez, Enrique",BOS
"Cooper, Garrett",MIA
"Winker, Jesse",MIL
"Kemp, Tony",OAK
"Jung, Josh",TEX
"Murphy, Sean",ATL
"Brantley, Michael",HOU
"Grisham, Trent",SD
"De La Cruz, Bryan",MIA
"Torkelson, Spencer",DET
"Merrifield, Whit",TOR
"Taveras, Leody",TEX
"Meneses, Joey",WSH
"Brown, Seth",OAK
"Rengifo, Luis",LAA
"Drury, Brandon",LAA
"Crawford, Brandon",SF
"Pederson, Joc",SF
"Wong, Kolten",SEA
"Wendle, Joey",MIA
"Vargas, Miguel",LAD
"Escobar, Eduardo",NYM
"Ruiz, Keibert",WSH
"LeMahieu, DJ",NYY
"Gallo, Joey",MIN
"Marsh, Brandon",PHI
"Friedl, TJ",CIN
"Kepler, Max",MIN
"Choi, Ji-Man",PIT
"Gordon, Nick",MIN
"Langeliers, Shea",OAK
"Steer, Spencer",CIN
"Tovar, Ezequiel",COL
"Fraley, Jake",CIN
"Contreras, William",MIL
"Stott, Bryson",PHI
"Mancini, Trey",CHC
"Flores, Wilmer",SF
"Taylor, Tyrone",MIL
"Diaz, Aledmys",OAK
"Nootbaar, Lars",STL
"McCutchen, Andrew",PIT
"Frazier, Adam",BAL
"Votto, Joey",CIN
"Paredes, Isaac",TB
"Waters, Drew",KC
"Daza, Yonathan",COL
"Kelenic, Jarred",SEA
"Smith, Dominic",WSH
"Raleigh, Cal",SEA
"Isbel, Kyle",KC
"Ramirez, Harold",TB
"Donaldson, Josh",NYY
"Straw, Myles",CLE
"Ozuna, Marcell",ATL
"Baddoo, Akil",DET
"Urias, Ramon",BAL
"Siri, Jose",TB
"Grissom, Vaughn",ATL
"Olivares, Edward",KC
"Castro, Rodolfo",PIT
"Allen, Nick",OAK
"Dozier, Hunter",KC
"Walsh, Jared",LAA
"Mitchell, Garrett",MIL
"Villar, David",SF
"Ruiz, Esteury",OAK
"Heim, Jonah",TEX
"McCormick, Chas",HOU
"Robles, Victor",WSH
"Carpenter, Kerry",DET
"Massey, Michael",KC
"Aguilar, Jesus",OAK
"Andrus, Elvis",FA
"Duvall, Adam",BOS
"Rosario, Eddie",ATL
"Espinal, Santiago",TOR
"Colas, Oscar",CHW
"Sanchez, Jesus",MIA
"Jansen, Danny",TOR
"Peterson, Jace",OAK
"Cabrera, Oswaldo",NYY
"Thompson, Trayce",LAD
"Hosmer, Eric",CHC
"Turang, Brice",MIL
"Kirilloff, Alex",MIN
"Wade Jr., LaMonte",SF
"Belt, Brandon",TOR
"Kiermaier, Kevin",TOR
"Longoria, Evan",ARI
"Suwinski, Jack",PIT
"Maldonado, Martin",HOU
"Yepez, Juan",STL
"Davis, J.D.",SF
"Senzel, Nick",CIN
"H. Smith, Josh",TEX
"Bleday, JJ",OAK
